ID,Tên,Loại,Giá trị,Hoạt động,Ngày hoạt động,Ngày thêm
ASSET001,123,Tiền mặt,123,ADD,2025-11-27,2025-11-27
ASSET002,234,Tiền mặt,234,ADD,2025-11-27,2025-11-27
ASSET001,12367,Tiền mặt,123567,UPDATE,2025-11-27,2025-11-27
ASSET003,678,Tiền mặt,678,ADD,2025-11-27,2025-11-27
ASSET001,12367,Tiền mặt,123567,DELETE,2025-11-27,2025-11-27
ASSET003,890,Tiền mặt,890,ADD,2025-11-27,2025-11-27
ASSET003,890,Tiền mặt,890,ADD,2025-11-27,2025-11-27
ASSET003,666,Tiền mặt,666,ADD,2025-11-27,2025-11-27
ASSET002,234,Bất động sản,234,UPDATE,2025-11-27,2025-11-27
ASSET003,3,Tiền mặt,33,ADD,2025-11-27,2025-11-27
