ID,Tên,Loại,Giá trị,Hoạt động,Ngày hoạt động,Ngày thêm
ASSET001,ô tô,Phương tiện,5000000000,ADD,2025-11-26,2025-11-26
ASSET001,ô tô pro,Phương tiện,5000000000,UPDATE,2025-11-26,2025-11-26
ASSET001,ô tô pro,Phương tiện,5000000000,DELETE,2025-11-26,2025-11-26
ASSET001,aaaaa,Bất động sản,123123,ADD,2025-11-26,2025-11-26
ASSET001,aaaaa,,123123,UPDATE,2025-11-26,2025-11-26
ASSET001,aaaaa,,123123,DELETE,2025-11-26,2025-11-26
ASSET001,12312312321,Khác,1231221,ADD,2025-11-27,2025-11-27
ASSET002,1231234324,Đồ điện tử,123,ADD,2025-11-27,2025-11-27
ASSET001,12312312321,Khác,1231221,UPDATE,2025-11-27,2025-11-27
ASSET002,1231234324,Đồ điện tử,123,UPDATE,2025-11-27,2025-11-27
ASSET001,12312312321,Khác,1231221,UPDATE,2025-11-27,2025-11-27
ASSET001,ádáádasdasd,Bất động sản,1231221,UPDATE,2025-11-27,2025-11-27
ASSET001,ádáádasdasdưqeqweqweqweqweqw,Bất động sản,1231221,UPDATE,2025-11-27,2025-11-27
ASSET001,ádáádasdasdưqeqweqweqweqweqw,Bất động sản,1231221,DELETE,2025-11-27,2025-11-27
ASSET002,ádasd,ro nal doaaaaaâ,1,ADD,2025-11-27,2025-11-27
ASSET002,1231234324,Đồ điện tử,123,DELETE,2025-11-27,2025-11-27
ASSET001,123,Bất động sản,123,ADD,2025-11-27,2025-11-27
ASSET002,123123,123123,123123,ADD,2025-11-27,2025-11-27
ASSET003,44234234,234643645654,234234234,ADD,2025-11-27,2025-11-27
ASSET002,123123,12312388888,123123,UPDATE,2025-11-27,2025-11-27
ASSET004,fghfghf,123123,678678,ADD,2025-11-27,2025-11-27
ASSET005,56,Bất động sản,567,ADD,2025-11-27,2025-11-27
ASSET004,fghfghf,123123,678678,DELETE,2025-11-27,2025-11-27
